"No","Site","Name","Plot","Block","Row","year_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","BD","Clay","Silt","Sand","OC","TN"
"22","A","A8","8","2","1","15-1","2015","1","0-10","8","Mustard",0.95,7.58,73.03,19.39,2.31,0.18
"23","A","A8","8","2","1","15-1","2015","2","10-30","8","Mustard",1.37,7.41,72.79,19.8,2.43,0.19
"24","A","A8","8","2","1","15-1","2015","3","30-60","8","Mustard",1.74,5.76,73.79,20.45,1.47,0.11
"25","A","A9","9","2","1","15-1","2015","1","0-10","8","Fallow",1.21,7.4,72.61,19.99,1.98,0.16
"26","A","A9","9","2","1","15-1","2015","2","10-30","8","Fallow",1.37,6.21,72.75,21.05,2.07,0.16
"27","A","A9","9","2","1","15-1","2015","3","30-60","8","Fallow",1.75,5.01,70.94,24.04,1.14,0.09
"28","A","A10","10","2","1","15-1","2015","1","0-10","8","Mix4",1.3,12.94,66.52,20.54,2.69,0.22
"29","A","A10","10","2","1","15-1","2015","2","10-30","8","Mix4",1.37,5.68,74.89,19.43,2.53,0.2
"30","A","A10","10","2","1","15-1","2015","3","30-60","8","Mix4",1.71,4.67,73.86,21.47,1.58,0.11
"31","A","A11","11","2","1","15-1","2015","1","0-10","8","Mix12",1.12,5.78,74.61,19.61,1.98,0.15
"32","A","A11","11","2","1","15-1","2015","2","10-30","8","Mix12",1.29,6.39,73.78,19.84,2.05,0.16
"33","A","A11","11","2","1","15-1","2015","3","30-60","8","Mix12",1.76,4.34,78.38,17.27,1.02,0.07
"34","A","A12","12","2","1","15-1","2015","1","0-10","8","Phacelia",1.41,6.69,71.74,21.57,2.19,0.18
"35","A","A12","12","2","1","15-1","2015","2","10-30","8","Phacelia",1.33,6.22,73.4,20.38,1.96,0.16
"36","A","A12","12","2","1","15-1","2015","3","30-60","8","Phacelia",1.62,5.14,69.15,25.71,1.22,0.1
"37","A","A13","13","2","1","15-1","2015","1","0-10","8","Clover",1.3,6.67,71.96,21.36,1.8,0.15
"38","A","A13","13","2","1","15-1","2015","2","10-30","8","Clover",1.35,6.59,73.06,20.35,1.95,0.16
"39","A","A13","13","2","1","15-1","2015","3","30-60","8","Clover",1.65,5.72,73.74,20.55,1.46,0.11
"40","A","A14","14","2","1","15-1","2015","1","0-10","8","Oat",1.29,7.14,72.3,20.56,1.84,0.16
"41","A","A14","14","2","1","15-1","2015","2","10-30","8","Oat",1.42,6.75,73.62,19.63,1.63,0.14
"42","A","A14","14","2","1","15-1","2015","3","30-60","8","Oat",1.71,5.23,68.51,26.26,0.89,0.08
"64","A","A22","22","2","2","15-1","2015","1","0-10","8","Oat",1.3,7,75.61,17.39,1.57,0.13
"65","A","A22","22","2","2","15-1","2015","2","10-30","8","Oat",1.36,7.17,74.84,17.99,1.91,0.16
"66","A","A22","22","2","2","15-1","2015","3","30-60","8","Oat",1.72,5.6,78.06,16.33,1.29,0.1
