"","cc_variant","depth","Fraction","OC_ratio.m"
"1","Clover","0-10 cm","<1",100
"2","Clover","0-10 cm","2-1",100
"3","Clover","0-10 cm","4-2",100
"4","Clover","0-10 cm","8-4",100
"5","Clover","0-10 cm","16-8",100
"6","Clover","20-30 cm","<1",100
"7","Clover","20-30 cm","2-1",100
"8","Clover","20-30 cm","4-2",100
"9","Clover","20-30 cm","8-4",100
"10","Clover","20-30 cm","16-8",100
"11","Clover","30-40 cm","<1",100
"12","Clover","30-40 cm","2-1",100
"13","Clover","30-40 cm","4-2",100
"14","Clover","30-40 cm","8-4",100
"15","Clover","30-40 cm","16-8",100
"16","Mix12","0-10 cm","<1",100
"17","Mix12","0-10 cm","2-1",100
"18","Mix12","0-10 cm","4-2",100
"19","Mix12","0-10 cm","8-4",100
"20","Mix12","0-10 cm","16-8",100
"21","Mix12","20-30 cm","<1",100
"22","Mix12","20-30 cm","2-1",100
"23","Mix12","20-30 cm","4-2",100
"24","Mix12","20-30 cm","8-4",100
"25","Mix12","20-30 cm","16-8",100
"26","Mix12","30-40 cm","<1",100
"27","Mix12","30-40 cm","2-1",100
"28","Mix12","30-40 cm","4-2",100
"29","Mix12","30-40 cm","8-4",100
"30","Mix12","30-40 cm","16-8",100
"31","Mix4","0-10 cm","<1",100
"32","Mix4","0-10 cm","2-1",100
"33","Mix4","0-10 cm","4-2",100
"34","Mix4","0-10 cm","8-4",100
"35","Mix4","0-10 cm","16-8",100
"36","Mix4","20-30 cm","<1",100
"37","Mix4","20-30 cm","2-1",100
"38","Mix4","20-30 cm","4-2",100
"39","Mix4","20-30 cm","8-4",100
"40","Mix4","20-30 cm","16-8",100
"41","Mix4","30-40 cm","<1",100
"42","Mix4","30-40 cm","2-1",100
"43","Mix4","30-40 cm","4-2",100
"44","Mix4","30-40 cm","8-4",100
"45","Mix4","30-40 cm","16-8",100
"46","Mustard","0-10 cm","<1",100
"47","Mustard","0-10 cm","2-1",100
"48","Mustard","0-10 cm","4-2",100
"49","Mustard","0-10 cm","8-4",100
"50","Mustard","0-10 cm","16-8",100
"51","Mustard","20-30 cm","<1",100
"52","Mustard","20-30 cm","2-1",100
"53","Mustard","20-30 cm","4-2",100
"54","Mustard","20-30 cm","8-4",100
"55","Mustard","20-30 cm","16-8",100
"56","Mustard","30-40 cm","<1",100
"57","Mustard","30-40 cm","2-1",100
"58","Mustard","30-40 cm","4-2",100
"59","Mustard","30-40 cm","8-4",100
"60","Mustard","30-40 cm","16-8",100
"61","Oat","0-10 cm","<1",100
"62","Oat","0-10 cm","2-1",100
"63","Oat","0-10 cm","4-2",100
"64","Oat","0-10 cm","8-4",100
"65","Oat","0-10 cm","16-8",100
"66","Oat","20-30 cm","<1",100
"67","Oat","20-30 cm","2-1",100
"68","Oat","20-30 cm","4-2",100
"69","Oat","20-30 cm","8-4",100
"70","Oat","20-30 cm","16-8",100
"71","Oat","30-40 cm","<1",100
"72","Oat","30-40 cm","2-1",100
"73","Oat","30-40 cm","4-2",100
"74","Oat","30-40 cm","8-4",100
"75","Oat","30-40 cm","16-8",100
"76","Phacelia","0-10 cm","<1",100
"77","Phacelia","0-10 cm","2-1",100
"78","Phacelia","0-10 cm","4-2",100
"79","Phacelia","0-10 cm","8-4",100
"80","Phacelia","0-10 cm","16-8",100
"81","Phacelia","20-30 cm","<1",100
"82","Phacelia","20-30 cm","2-1",100
"83","Phacelia","20-30 cm","4-2",100
"84","Phacelia","20-30 cm","8-4",100
"85","Phacelia","20-30 cm","16-8",100
"86","Phacelia","30-40 cm","<1",100
"87","Phacelia","30-40 cm","2-1",100
"88","Phacelia","30-40 cm","4-2",100
"89","Phacelia","30-40 cm","8-4",100
"90","Phacelia","30-40 cm","16-8",100
