"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"1","0-10 cm","<1",158,"Oat",14,15.3579601906833,75.5969597063776,"Fallow",13.9923762099287,69.9648186593361,109.759485881931,105.632141047041
"2","0-10 cm","<1",173,"Oat",22,17.6943217296936,75.9121198395648,"Fallow",13.9923762099287,69.9648186593361,126.456875259958,105.947301180229
"3","0-10 cm","<1",143,"Clover",13,14.4836964136781,72.5077288625984,"Fallow",13.9923762099287,69.9648186593361,103.51134215074,102.542910203262
"4","0-10 cm","<1",263,"Mix12",28,12.3334981623789,67.215507169749,"Fallow",13.9923762099287,69.9648186593361,88.1444150538727,97.2506885104129
"5","0-10 cm","<1",278,"Mix4",36,11.8830662983425,61.0755816567481,"Fallow",13.9923762099287,69.9648186593361,84.9252916020834,91.110762997412
"6","0-10 cm","<1",128,"Phacelia",12,14.6186179066835,70.4937231288188,"Fallow",13.9923762099287,69.9648186593361,104.475592189341,100.528904469483
"7","0-10 cm","<1",68,"Mustard",8,14.8772122226873,71.5397954033259,"Fallow",13.9923762099287,69.9648186593361,106.32370084597,101.57497674399
"8","0-10 cm","<1",368,"Fallow",42,11.959795370681,70.5081292552625,"Fallow",13.9923762099287,69.9648186593361,85.4736550193281,100.543310595926
"9","0-10 cm","<1",188,"Clover",23,15.3588237745915,74.1878321767132,"Fallow",13.9923762099287,69.9648186593361,109.765657699321,104.223013517377
"10","0-10 cm","<1",83,"Fallow",9,14.8452476572959,66.9386839189484,"Fallow",13.9923762099287,69.9648186593361,106.095258121791,96.9738652596123
"11","0-10 cm","<1",248,"Mix4",27,12.9035300008345,75.2912402664271,"Fallow",13.9923762099287,69.9648186593361,92.2182894973795,105.326421607091
"12","0-10 cm","<1",293,"Mix12",37,13.0497267485585,67.9660163999059,"Fallow",13.9923762099287,69.9648186593361,93.2631209508124,98.0011977405698
"13","0-10 cm","<1",113,"Mix12",11,16.851046705588,71.7277590626104,"Fallow",13.9923762099287,69.9648186593361,120.430200366045,101.762940403274
"14","0-10 cm","<1",233,"Mustard",26,13.2674505219207,70.7391222345762,"Fallow",13.9923762099287,69.9648186593361,94.8191380996917,100.77430357524
"15","0-10 cm","<1",353,"Mustard",41,13.1542895600236,73.0834032548268,"Fallow",13.9923762099287,69.9648186593361,94.0104051139619,103.118584595491
"16","0-10 cm","<1",98,"Mix4",10,15.86351891982,70.6910058308691,"Fallow",13.9923762099287,69.9648186593361,113.372587199046,100.726187171533
"17","0-10 cm","<1",323,"Clover",39,12.1388875917278,71.2204937581696,"Fallow",13.9923762099287,69.9648186593361,86.7535821622227,101.255675098833
